ID	SYMBOL	GENE_PRODUCT_NAME	GO_TERM	GO EVIDENCE CODE	REFERENCE	SUPERCLASS
https://identifiers.org/uniprot:Q61473	Sox17	Transcription factor SOX-17	GO:0007493	IDA	PMID:20308546	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:A0A1L1SUI3	Slc37a4	Major facilitator superfamily (MFS) profile domain-containing protein	GO:0001780	IMP	PMID:16891306	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:A0A1L1SUV7	Slc37a4	Major facilitator superfamily (MFS) profile domain-containing protein	GO:0001780	IMP	PMID:16891306	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:A0A1L1SV42	Slc37a4	Solute carrier family 37 (glucose-6-phosphate transporter), member 4	GO:0001780	IMP	PMID:16891306	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:B1AWC8	Pde4b	Phosphodiesterase	GO:0001780	IMP	PMID:15585880	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:B1AWC9	Pde4b	Phosphodiesterase	GO:0001780	IMP	PMID:15585880	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:B1AWD0	Pde4b	Phosphodiesterase	GO:0001780	IMP	PMID:15585880	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:B1AWD1	Pde4b	3',5'-cyclic-AMP phosphodiesterase	GO:0001780	IMP	PMID:15585880	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:B2RXC2	Itpkb	Kinase	GO:0002262	IMP	PMID:18339802	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:B2RXV4	Flvcr1	Choline/ethanolamine transporter FLVCR1	GO:0030218	IMP	PMID:18258918	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:E9Q649	Gcnt4	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4	GO:0001780	IMP	PMID:19349303	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:F8VPQ2	Arid4a	AT-rich interactive domain-containing protein 4A	GO:0048821	IMP	PMID:18728284	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:G3UWT3	Pde4b	Phosphodiesterase 4B, cAMP specific	GO:0001780	IMP	PMID:15585880	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:G3UZ46	Pde4b	3',5'-cyclic-AMP phosphodiesterase	GO:0001780	IMP	PMID:15585880	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:G3UZY9	Pde4b	Phosphodiesterase 4B, cAMP specific	GO:0001780	IMP	PMID:15585880	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:G5E8Q8	Adgrf5	Adhesion G protein-coupled receptor F5	GO:0048821	IGI	PMID:28806758	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:J3QMK2	Bbip1	BBSome interacting protein 1	GO:0002262	IMP	PMID:27687499	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:J3QMK2	Bbip1	BBSome interacting protein 1	GO:0034101	IMP	PMID:27687499	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:O08734	Bak1	Bcl-2 homologous antagonist/killer	GO:0002262	IGI	PMID:15967824	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:O08811	Ercc2	General transcription and DNA repair factor IIH helicase subunit XPD	GO:0043249	IMP	PMID:17020410	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:O35615	Zfpm1	Zinc finger protein ZFPM1	GO:0030218	IMP	PMID:20010697	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:O35615	Zfpm1	Zinc finger protein ZFPM1	GO:0030218	IGI	PMID:9230307	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:O35615	Zfpm1	Zinc finger protein ZFPM1	GO:0060318	IMP	PMID:9553047	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:O35615	Zfpm1	Zinc finger protein ZFPM1	GO:0060319	IMP	PMID:9553047	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:O35740	Cited2	Cbp/p300-interacting transactivator 2	GO:0048821	IMP	PMID:17644732	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:O54918	Bcl2l11	Bcl-2-like protein 11	GO:0002262	IGI	PMID:15967824	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:O70477	Pknox1	Homeobox protein PKNOX1	GO:0030218	IMP	PMID:16847320	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:O70494	Sp3	Transcription factor Sp3	GO:0030218	IMP	PMID:12676787	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:O70494	Sp3	Transcription factor Sp3	GO:0043353	IGI	PMID:17584888	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:O89090	Sp1	Transcription factor Sp1	GO:0043353	IGI	PMID:17584888	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P01580	Ifng	Interferon gamma	GO:0001781	IMP	PMID:12925700	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P01942	Hba	Hemoglobin subunit alpha	GO:0048821	IGI	PMID:7550311	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P02088	Hbb-b1	Hemoglobin subunit beta-1	GO:0048821	IGI	PMID:8524813	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P02089	Hbb-b2	Hemoglobin subunit beta-2	GO:0048821	IGI	PMID:8524813	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P04247	Mb	Myoglobin	GO:0043353	IMP	PMID:14656764	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P04919	Slc4a1	Band 3 anion transport protein	GO:0048821	IMP	PMID:17715300	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P06467	Hbz	Hemoglobin subunit zeta	GO:0043249	IMP	PMID:7926723	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P06745	Gpi	Glucose-6-phosphate isomerase	GO:0034101	IMP	PMID:8417789	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P07141	Csf1	Macrophage colony-stimulating factor 1	GO:0001780	IMP	PMID:9215625	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P07141	Csf1	Macrophage colony-stimulating factor 1	GO:0035702	IMP	PMID:9215625	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P07141	Csf1	Macrophage colony-stimulating factor 1	GO:0061519	IMP	PMID:9215625	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P07321	Epo	Erythropoietin	GO:0030218	IDA	PMID:15591122	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P08228	Sod1	Superoxide dismutase [Cu-Zn]	GO:0002262	IMP	PMID:11493445	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P08228	Sod1	Superoxide dismutase [Cu-Zn]	GO:0002262	IGI	PMID:11493445	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P08505	Il6	Interleukin-6	GO:0001781	IDA	PMID:12925700	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P08505	Il6	Interleukin-6	GO:0001781	IMP	PMID:12925700	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P08505	Il6	Interleukin-6	GO:0002262	IMP	PMID:24357729	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P09023	Hoxb6	Homeobox protein Hox-B6	GO:0034101	IMP	PMID:10996827	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P10711	Tcea1	Transcription elongation factor A protein 1	GO:0030218	IMP	PMID:16581793	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P13405	Rb1	Retinoblastoma-associated protein	GO:0043353	IGI	PMID:15616565	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P14404	Mecom	Histone-lysine N-methyltransferase MECOM	GO:0001780	IMP	PMID:17029558	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P15327	Bpgm	Bisphosphoglycerate mutase	GO:0048821	IMP	PMID:32966787	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P17095	Hmga1	High mobility group protein HMG-I/HMG-Y	GO:0030218	IMP	PMID:15713121	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P17433	Spi1	Transcription factor PU.1	GO:0030218	IMP	PMID:9133423	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P17679	Gata1	Erythroid transcription factor	GO:0030218	IMP	PMID:1302015	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P17679	Gata1	Erythroid transcription factor	GO:0030218	IMP	PMID:1987478	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P17679	Gata1	Erythroid transcription factor	GO:0030218	IMP	PMID:7867497	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P17679	Gata1	Erythroid transcription factor	GO:0030218	IGI	PMID:9230307	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P17679	Gata1	Erythroid transcription factor	GO:0030218	IDA	PMID:9427697	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P17679	Gata1	Erythroid transcription factor	GO:0030218	IMP	PMID:9576834	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P17679	Gata1	Erythroid transcription factor	GO:0060319	IMP	PMID:9139715	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P21275	Bmp4	Bone morphogenetic protein 4	GO:0030218	IDA	PMID:15591122	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P22091	Tal1	T-cell acute lymphocytic leukemia protein 1 homolog	GO:0030218	IDA	PMID:11731461	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P22091	Tal1	T-cell acute lymphocytic leukemia protein 1 homolog	GO:0030218	IMP	PMID:11731461	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P22091	Tal1	T-cell acute lymphocytic leukemia protein 1 homolog	GO:0030218	IDA	PMID:15314159	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P22091	Tal1	T-cell acute lymphocytic leukemia protein 1 homolog	GO:0043249	IMP	PMID:18550854	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P22315	Fech	Ferrochelatase, mitochondrial	GO:0030218	IMP	PMID:1939658	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P23772	Gata3	Trans-acting T-cell-specific transcription factor GATA-3	GO:0030218	IDA	PMID:9576834	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P35700	Prdx1	Peroxiredoxin-1	GO:0034101	IMP	PMID:12891360	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P40645	Sox6	Transcription factor SOX-6	GO:0030218	IMP	PMID:20711497	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P40645	Sox6	Transcription factor SOX-6	GO:0048821	IMP	PMID:16462943	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P41136	Id2	DNA-binding protein inhibitor ID-2	GO:0043353	IGI	PMID:15616565	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P41163	Etv2	ETS translocation variant 2	GO:0030218	IMP	PMID:18462699	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P41183	Bcl6	B-cell lymphoma 6 protein homolog	GO:0048821	IMP	PMID:15661395	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P46099	Klf1	Krueppel-like factor 1	GO:0043249	IMP	PMID:7753195	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P46099	Klf1	Krueppel-like factor 1	GO:0048821	IMP	PMID:15923635	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P46099	Klf1	Krueppel-like factor 1	GO:0048821	IMP	PMID:7753194	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P49282	Slc11a2	Natural resistance-associated macrophage protein 2	GO:0048821	IMP	PMID:15849611	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P50652	Fancc	Fanconi anemia group C protein homolog	GO:0002262	IMP	PMID:11493445	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P50652	Fancc	Fanconi anemia group C protein homolog	GO:0002262	IGI	PMID:11493445	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P51683	Ccr2	C-C chemokine receptor type 2	GO:0097350	IMP	PMID:9342361	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P56542	Dnase2	Deoxyribonuclease-2-alpha	GO:0043353	IMP	PMID:11375492	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P57716	Ncstn	Nicastrin	GO:0002262	IMP	PMID:17913918	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P62754	Rps6	Small ribosomal subunit protein eS6	GO:0048821	IMP	PMID:17000767	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P63001	Rac1	Ras-related C3 botulinum toxin substrate 1	GO:0043131	IMP	PMID:18264091	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P63058	Thra	Thyroid hormone receptor alpha	GO:0030218	IMP	PMID:18203951	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P63300	Selenow	Selenoprotein W	GO:0030218	IMP	PMID:29615406	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P97454	Smad5	Mothers against decapentaplegic homolog 5	GO:0030218	IMP	PMID:15591122	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P97481	Epas1	Endothelial PAS domain-containing protein 1	GO:0030218	IMP	PMID:17284606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P97805	Fam3d	Protein FAM3D	GO:0001780	IMP	PMID:29853563	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q00612	G6pdx	Glucose-6-phosphate 1-dehydrogenase X	GO:0048821	IMP	PMID:14751857	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q00612	G6pdx	Glucose-6-phosphate 1-dehydrogenase X	GO:0048821	IMP	PMID:15271799	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q00731	Vegfa	Vascular endothelial growth factor A, long form	GO:0060319	IMP	PMID:14729577	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q00993	Axl	Tyrosine-protein kinase receptor UFO	GO:0034101	IMP	PMID:18188450	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q00993	Axl	Tyrosine-protein kinase receptor UFO	GO:0034101	IGI	PMID:18188450	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q00993	Axl	Tyrosine-protein kinase receptor UFO	GO:0097350	IGI	PMID:23878224	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q02357	Ank1	Ankyrin-1	GO:0048821	IMP	PMID:2139228	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q02357	Ank1	Ankyrin-1	GO:0048821	IMP	PMID:23390527	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q05144	Rac2	Ras-related C3 botulinum toxin substrate 2	GO:0043131	IMP	PMID:18264091	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q07813	Bax	Apoptosis regulator BAX	GO:0002262	IGI	PMID:15967824	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q3TAQ1	Pde4b	3',5'-cyclic-AMP phosphodiesterase	GO:0001780	IMP	PMID:15585880	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q3TKT4	Smarca4	Transcription activator BRG1	GO:0060318	IMP	PMID:16287714	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q3TKT4	Smarca4	Transcription activator BRG1	GO:0060319	IMP	PMID:16287714	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q3TMR0	Pde4b	PDEase domain-containing protein	GO:0001780	IMP	PMID:15585880	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q3TTI9	Pde4b	Phosphodiesterase	GO:0001780	IMP	PMID:15585880	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q4VC33	Maea	E3 ubiquitin-protein transferase MAEA	GO:0048821	IMP	PMID:16707498	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q4VC33	Maea	E3 ubiquitin-protein transferase MAEA	GO:0048822	IMP	PMID:16707498	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q5H8C4	Vps13a	Intermembrane lipid transfer protein VPS13A	GO:0030218	IMP	PMID:33941276	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q60805	Mertk	Tyrosine-protein kinase Mer	GO:0097350	IGI	PMID:23878224	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q60843	Klf2	Krueppel-like factor 2	GO:0034101	IMP	PMID:15947087	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q60843	Klf2	Krueppel-like factor 2	GO:0043249	IMP	PMID:15947087	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q60974	Ncor1	Nuclear receptor corepressor 1	GO:0060318	IMP	PMID:11030619	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q61985	Nfe2l1	Endoplasmic reticulum membrane sensor NFE2L1	GO:0030218	IMP	PMID:9501099	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q64281	Lilrb4a	Leukocyte immunoglobulin-like receptor subfamily B member 4A	GO:0001780	IMP	PMID:15827966	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q6IQY6	Pde4b	Phosphodiesterase	GO:0001780	IMP	PMID:15585880	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q80VK8	Pde4b	3',5'-cyclic-AMP phosphodiesterase	GO:0001780	IMP	PMID:15585880	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q811J3	Ireb2	Iron-responsive element-binding protein 2	GO:0034101	IMP	PMID:15831703	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q8BJU2	Tspan9	Tetraspanin-9	GO:0001780	IMP	PMID:34048705	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q8BKB2	Itpkb	Uncharacterized protein	GO:0002262	IMP	PMID:18339802	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q8BLB7	L3mbtl3	Lethal(3)malignant brain tumor-like protein 3	GO:0043249	IDA	PMID:15889154	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q8BQB2	Pde4b	3',5'-cyclic-AMP phosphodiesterase	GO:0001780	IMP	PMID:15585880	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q8BTA5	Pde4b	3',5'-cyclic-AMP phosphodiesterase	GO:0001780	IMP	PMID:15585880	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q8C1Z7	Bbs4	BBSome complex member BBS4	GO:0002262	IMP	PMID:27687499	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q8C1Z7	Bbs4	BBSome complex member BBS4	GO:0034101	IMP	PMID:27687499	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q8C1Z7	Bbs4	BBSome complex member BBS4	GO:0034101	IMP	PMID:33426789	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q8CF94	Rhd	Blood group Rh(D) polypeptide	GO:0048821	IMP	PMID:19807729	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q8CFE3	Rcor1	REST corepressor 1	GO:0030218	IMP	PMID:24652990	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q8R313	Exoc6	Exocyst complex component 6	GO:0030218	IMP	PMID:3960859	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q8VBU5	Pde4b	Phosphodiesterase	GO:0001780	IMP	PMID:15585880	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q8VEK3	Hnrnpu	Heterogeneous nuclear ribonucleoprotein U	GO:0030218	IMP	PMID:28636939	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q91VB8	Hba-a1	Globin domain-containing protein	GO:0048821	IGI	PMID:7550311	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q91VY2	Pde4b	Phosphodiesterase	GO:0001780	IMP	PMID:15585880	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q925J9	Med1	Mediator of RNA polymerase II transcription subunit 1	GO:0048821	IMP	PMID:17132730	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q925J9	Med1	Mediator of RNA polymerase II transcription subunit 1	GO:0048822	IMP	PMID:21098667	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q99JB6	Foxp3	Forkhead box protein P3	GO:0002262	IMP	PMID:10072494	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q99JR1	Sfxn1	Sideroflexin-1	GO:0030218	IMP	PMID:11274051	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q99MS7	Ehbp1l1	EH domain-binding protein 1-like protein 1	GO:0030218	IMP	PMID:37042948	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q99MU3	Adar	Double-stranded RNA-specific adenosine deaminase	GO:0030218	IMP	PMID:11099415	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q99PU7	Bap1	Ubiquitin carboxyl-terminal hydrolase BAP1	GO:0061519	IMP	PMID:26119930	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q9CQN6	Tmem14c	Transmembrane protein 14C	GO:0030218	IMP	PMID:25157825	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q9CY02	Ahsp	Alpha-hemoglobin-stabilizing protein	GO:0030218	IMP	PMID:12066189	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q9D1F9	Slc37a4	Major facilitator superfamily (MFS) profile domain-containing protein	GO:0001780	IMP	PMID:16891306	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q9D2L6	Adgrf4	Adhesion G protein-coupled receptor F4	GO:0048821	IGI	PMID:28806758	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q9D7S9	Chmp5	Charged multivesicular body protein 5	GO:0030218	IDA	PMID:33036023	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q9D7S9	Chmp5	Charged multivesicular body protein 5	GO:0030218	IMP	PMID:33036023	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q9D8B6	Fam210b	Protein FAM210B, mitochondrial	GO:0030218	IMP	PMID:39000360	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q9D8B7	Jam3	Junctional adhesion molecule C	GO:0001780	IMP	PMID:17455169	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q9EQ21	Hamp	Hepcidin	GO:0002262	IMP	PMID:24357729	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q9ERI5	Jmjd6	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6	GO:0048821	IMP	PMID:14715629	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q9ERI5	Jmjd6	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6	GO:0048821	IMP	PMID:15345036	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q9JHJ0	Tmod3	Tropomodulin-3	GO:0048821	IMP	PMID:24159174	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q9JM73	Srf	Serum response factor	GO:0048821	IMP	PMID:20709909	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q9QUT0	Rhag	Ammonium transporter Rh type A	GO:0048821	IMP	PMID:19807729	http://purl.obolibrary.org/obo/PR_000000001
