cl_class	cl_label	Cell_type	Marker_set	Minimal_markers	Minimal_markers_label	Organ	Species	Species_abbv	Organ_region	Parent	FBeta_confidence_score	Marker_set_xref	cxg_dataset_title	CL_agreed
		L2/3 IT_3	CLM:1001072	ensembl:ENSG00000196739|ensembl:ENSG00000119547|ensembl:ENSG00000079931|ensembl:ENSG00000138696	COL27A1|ONECUT2|MOXD1|BMPR1B	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.675117924528302	https://doi.org/10.5281/zenodo.11165918		False
		L2/3 IT_4	CLM:1001073	ensembl:ENSG00000146242|ensembl:ENSG00000078098|ensembl:ENSG00000119547|ensembl:ENSG00000204262	TPBG|FAP|ONECUT2|COL5A2	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.6337047353760445	https://doi.org/10.5281/zenodo.11165918		False
		L2/3 IT_5	CLM:1001074	ensembl:ENSG00000211445|ensembl:ENSG00000141433|ensembl:ENSG00000255794	GPX3|ADCYAP1|RMST	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5061141304347826	https://doi.org/10.5281/zenodo.11165918		False
		L2/3 IT_6	CLM:1001075	ensembl:ENSG00000256193|ensembl:ENSG00000156140|ensembl:ENSG00000216863	LINC00507|ADAMTS3|LY86-AS1	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5509868421052632	https://doi.org/10.5281/zenodo.11165918		False
		L4 IT_1	CLM:1001076	ensembl:ENSG00000146242|ensembl:ENSG00000223812|ensembl:ENSG00000113532	TPBG|RP11-197K6.1|ST8SIA4	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.6129032258064517	https://doi.org/10.5281/zenodo.11165918		False
		L4 IT_2	CLM:1001077	ensembl:ENSG00000197261|ensembl:ENSG00000113532	C6orf141|ST8SIA4	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.7738095238095238	https://doi.org/10.5281/zenodo.11165918		False
		L4 IT_3	CLM:1001078	ensembl:ENSG00000188133|ensembl:ENSG00000183960|ensembl:ENSG00000198963	TMEM215|KCNH8|RORB	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.6151315789473684	https://doi.org/10.5281/zenodo.11165918		False
		L4 IT_4	CLM:1001079	ensembl:ENSG00000144681|ensembl:ENSG00000183960|ensembl:ENSG00000143858	STAC|KCNH8|SYT2	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.6526243093922651	https://doi.org/10.5281/zenodo.11165918		False
		L4 IT_5	CLM:1001080	ensembl:ENSG00000169436|ensembl:ENSG00000168405	COL22A1|CMAHP	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.6576797385620915	https://doi.org/10.5281/zenodo.11165918		False
		L4 IT_6	CLM:1001081	ensembl:ENSG00000152527|ensembl:ENSG00000165959|ensembl:ENSG00000113532	PLEKHH2|CLMN|ST8SIA4	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.6703910614525139	https://doi.org/10.5281/zenodo.11165918		False
		L5 ET_1	CLM:1001082	ensembl:ENSG00000261742|ensembl:ENSG00000185668	LINC00922|POU3F1	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.728891820580475	https://doi.org/10.5281/zenodo.11165918		False
		L5 ET_2	CLM:1001083	ensembl:ENSG00000143882|ensembl:ENSG00000081479|ensembl:ENSG00000140557	ATP6V1C2|LRP2|ST8SIA2	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.7593749999999999	https://doi.org/10.5281/zenodo.11165918		False
		L5 ET_3	CLM:1001084	ensembl:ENSG00000169856|ensembl:ENSG00000139865|ensembl:ENSG00000153993|ensembl:ENSG00000135063	ONECUT1|TTC6|SEMA3D|FAM189A2	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.8891454965357967	https://doi.org/10.5281/zenodo.11165918		False
		L5 ET_4	CLM:1001085	ensembl:ENSG00000135373|ensembl:ENSG00000161958	EHF|FGF11	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.7297605473204105	https://doi.org/10.5281/zenodo.11165918		False
		L5 IT_1	CLM:1001086	ensembl:ENSG00000175040|ensembl:ENSG00000038295|ensembl:ENSG00000198963	CHST2|TLL1|RORB	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.6250000000000001	https://doi.org/10.5281/zenodo.11165918		False
		L5 IT_2	CLM:1001087	ensembl:ENSG00000185149|ensembl:ENSG00000179715|ensembl:ENSG00000038295|ensembl:ENSG00000198963	NPY2R|PCED1B|TLL1|RORB	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5685240963855422	https://doi.org/10.5281/zenodo.11165918		False
		L5 IT_3	CLM:1001088	ensembl:ENSG00000177519|ensembl:ENSG00000121905|ensembl:ENSG00000198963	RPRM|HPCA|RORB	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.49479166666666663	https://doi.org/10.5281/zenodo.11165918		False
		L5 IT_4	CLM:1001089	ensembl:ENSG00000188511|ensembl:ENSG00000179241|ensembl:ENSG00000198963|ensembl:ENSG00000082482	C22orf34|LDLRAD3|RORB|KCNK2	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.44211195928753183	https://doi.org/10.5281/zenodo.11165918		False
		L5 IT_5	CLM:1001090	ensembl:ENSG00000168743|ensembl:ENSG00000154975|ensembl:ENSG00000198963|ensembl:ENSG00000082482	NPNT|CA10|RORB|KCNK2	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5813953488372092	https://doi.org/10.5281/zenodo.11165918		False
		L5 IT_6	CLM:1001091	ensembl:ENSG00000056291|ensembl:ENSG00000196562|ensembl:ENSG00000198963	NPFFR2|SULF2|RORB	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.6619822485207101	https://doi.org/10.5281/zenodo.11165918		False
		L5/6 NP_1	CLM:1001092	ensembl:ENSG00000043039|ensembl:ENSG00000135218|ensembl:ENSG00000197085	BARX2|CD36|NPSR1-AS1	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.49025974025974034	https://doi.org/10.5281/zenodo.11165918		False
		L5/6 NP_2	CLM:1001093	ensembl:ENSG00000091664|ensembl:ENSG00000103316	SLC17A6|CRYM	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.4607508532423208	https://doi.org/10.5281/zenodo.11165918		False
		L5/6 NP_3	CLM:1001094	ensembl:ENSG00000197085|ensembl:ENSG00000162407|ensembl:ENSG00000157404	NPSR1-AS1|PLPP3|KIT	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5273892773892773	https://doi.org/10.5281/zenodo.11165918		False
		L5/6 NP_4	CLM:1001095	ensembl:ENSG00000170820|ensembl:ENSG00000165959|ensembl:ENSG00000038295	FSHR|CLMN|TLL1	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.740632318501171	https://doi.org/10.5281/zenodo.11165918		False
		L5/6 NP_5	CLM:1001096	ensembl:ENSG00000112280|ensembl:ENSG00000187258|ensembl:ENSG00000038295	COL9A1|NPSR1|TLL1	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5373831775700935	https://doi.org/10.5281/zenodo.11165918		False
		L5/6 NP_6	CLM:1001097	ensembl:ENSG00000197085|ensembl:ENSG00000165895	NPSR1-AS1|ARHGAP42	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.7685614849187936	https://doi.org/10.5281/zenodo.11165918		False
		L6 CT_1	CLM:1001098	ensembl:ENSG00000133067|ensembl:ENSG00000165202|ensembl:ENSG00000137573	LGR6|OR1Q1|SULF1	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.665374677002584	https://doi.org/10.5281/zenodo.11165918		False
		L6 CT_2	CLM:1001099	ensembl:ENSG00000134207|ensembl:ENSG00000137809|ensembl:ENSG00000082684	SYT6|ITGA11|SEMA5B	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.791868932038835	https://doi.org/10.5281/zenodo.11165918		False
		L6 CT_3	CLM:1001100	ensembl:ENSG00000137573|ensembl:ENSG00000134138|ensembl:ENSG00000178031|ensembl:ENSG00000140015	SULF1|MEIS2|ADAMTSL1|KCNH5	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.632267441860465	https://doi.org/10.5281/zenodo.11165918		False
		L6 IT Car3_1	CLM:1001101	ensembl:ENSG00000226846	LINC00348	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.665	https://doi.org/10.5281/zenodo.11165918		False
		L6 IT Car3_2	CLM:1001102	ensembl:ENSG00000115593|ensembl:ENSG00000105855	SMYD1|ITGB8	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.6594036697247707	https://doi.org/10.5281/zenodo.11165918		False
		L6 IT_1	CLM:1001103	ensembl:ENSG00000172673|ensembl:ENSG00000171476|ensembl:ENSG00000150051	THEMIS|HOPX|MKX	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.6710122699386504	https://doi.org/10.5281/zenodo.11165918		False
		L6 IT_2	CLM:1001104	ensembl:ENSG00000226620|ensembl:ENSG00000156140|ensembl:ENSG00000130508	LINC00343|ADAMTS3|PXDN	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5810546875	https://doi.org/10.5281/zenodo.11165918		False
		L6b_1	CLM:1001105	ensembl:ENSG00000153993|ensembl:ENSG00000137809|ensembl:ENSG00000164142	SEMA3D|ITGA11|FAM160A1	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5724637681159421	https://doi.org/10.5281/zenodo.11165918		False
		L6b_2	CLM:1001106	ensembl:ENSG00000056291|ensembl:ENSG00000047936	NPFFR2|ROS1	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.565711462450593	https://doi.org/10.5281/zenodo.11165918		False
		L6b_3	CLM:1001107	ensembl:ENSG00000188991|ensembl:ENSG00000206190	SLC15A5|ATP10A	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.6928969359331476	https://doi.org/10.5281/zenodo.11165918		False
		L6b_4	CLM:1001108	ensembl:ENSG00000153234|ensembl:ENSG00000104043	NR4A2|ATP8B4	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5812101910828025	https://doi.org/10.5281/zenodo.11165918		False
		L6b_5	CLM:1001109	ensembl:ENSG00000182379|ensembl:ENSG00000153234|ensembl:ENSG00000170381	NXPH4|NR4A2|SEMA3E	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5693519079345852	https://doi.org/10.5281/zenodo.11165918		False
		L6b_6	CLM:1001110	ensembl:ENSG00000163710|ensembl:ENSG00000164142|ensembl:ENSG00000137573	PCOLCE2|FAM160A1|SULF1	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.570388349514563	https://doi.org/10.5281/zenodo.11165918		False
		Lamp5 Lhx6_1	CLM:1001111	ensembl:ENSG00000154080|ensembl:ENSG00000125869	CHST9|LAMP5	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.8216783216783217	https://doi.org/10.5281/zenodo.11165918		False
		Lamp5_1	CLM:1001112	ensembl:ENSG00000173157|ensembl:ENSG00000157404|ensembl:ENSG00000164946	ADAMTS20|KIT|FREM1	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.48856548856548865	https://doi.org/10.5281/zenodo.11165918		False
		Lamp5_2	CLM:1001113	ensembl:ENSG00000167081|ensembl:ENSG00000157404	PBX3|KIT	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.7316272965879266	https://doi.org/10.5281/zenodo.11165918		False
		Lamp5_3	CLM:1001114	ensembl:ENSG00000104267|ensembl:ENSG00000213578|ensembl:ENSG00000125869	CA2|CPLX3|LAMP5	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.6311576354679802	https://doi.org/10.5281/zenodo.11165918		False
		Lamp5_4	CLM:1001115	ensembl:ENSG00000169071|ensembl:ENSG00000138741|ensembl:ENSG00000183580|ensembl:ENSG00000235665	ROR2|TRPC3|FBXL7|LINC00298	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.40425531914893614	https://doi.org/10.5281/zenodo.11165918		False
		Lamp5_5	CLM:1001116	ensembl:ENSG00000173376|ensembl:ENSG00000168743|ensembl:ENSG00000125869	NDNF|NPNT|LAMP5	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.6249999999999999	https://doi.org/10.5281/zenodo.11165918		False
		Lamp5_6	CLM:1001117	ensembl:ENSG00000173376|ensembl:ENSG00000157404|ensembl:ENSG00000138741	NDNF|KIT|TRPC3	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.6357493857493858	https://doi.org/10.5281/zenodo.11165918		False
		Lamp5_7	CLM:1001118	ensembl:ENSG00000133392|ensembl:ENSG00000212907|ensembl:ENSG00000157404	MYH11|MT-ND4L|KIT	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.42241379310344834	https://doi.org/10.5281/zenodo.11165918		False
		Micro/PVM_1	CLM:1001119	ensembl:ENSG00000077420|ensembl:ENSG00000107099	APBB1IP|DOCK8	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.9551056338028168	https://doi.org/10.5281/zenodo.11165918		False
		OPC_1	CLM:1001120	ensembl:ENSG00000205927|ensembl:ENSG00000134853	OLIG2|PDGFRA	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.807799442896936	https://doi.org/10.5281/zenodo.11165918		False
		Oligo_1	CLM:1001121	ensembl:ENSG00000167123|ensembl:ENSG00000147459	CERCAM|DOCK5	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.24613623354321695	https://doi.org/10.5281/zenodo.11165918		False
		Oligo_2	CLM:1001122	ensembl:ENSG00000172197|ensembl:ENSG00000123560	MBOAT1|PLP1	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.8189655172413793	https://doi.org/10.5281/zenodo.11165918		False
		Oligo_3	CLM:1001123	ensembl:ENSG00000197430|ensembl:ENSG00000253807	OPALIN|LINC01170	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.713610586011342	https://doi.org/10.5281/zenodo.11165918		False
		Oligo_4	CLM:1001124	ensembl:ENSG00000197430|ensembl:ENSG00000213186|ensembl:ENSG00000167123	OPALIN|TRIM59|CERCAM	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5434782608695652	https://doi.org/10.5281/zenodo.11165918		False
		Pax6_1	CLM:1001125	ensembl:ENSG00000163453|ensembl:ENSG00000151491|ensembl:ENSG00000137252	IGFBP7|EPS8|HCRTR2	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.767426273458445	https://doi.org/10.5281/zenodo.11165918		False
		Pax6_2	CLM:1001126	ensembl:ENSG00000163513|ensembl:ENSG00000114200|ensembl:ENSG00000189056	TGFBR2|BCHE|RELN	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.7676056338028169	https://doi.org/10.5281/zenodo.11165918		False
		Pax6_3	CLM:1001127	ensembl:ENSG00000167081|ensembl:ENSG00000163110|ensembl:ENSG00000138829	PBX3|PDLIM5|FBN2	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.7090163934426228	https://doi.org/10.5281/zenodo.11165918		False
		Pax6_4	CLM:1001128	ensembl:ENSG00000099260|ensembl:ENSG00000189056	PALMD|RELN	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.8731422505307855	https://doi.org/10.5281/zenodo.11165918		False
		Pvalb_1	CLM:1001129	ensembl:ENSG00000196091|ensembl:ENSG00000174948|ensembl:ENSG00000197321	MYBPC1|GPR149|SVIL	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.6944444444444444	https://doi.org/10.5281/zenodo.11165918		False
		Pvalb_2	CLM:1001130	ensembl:ENSG00000114200|ensembl:ENSG00000075223|ensembl:ENSG00000179399	BCHE|SEMA3C|GPC5	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.7717391304347827	https://doi.org/10.5281/zenodo.11165918		False
		Pvalb_3	CLM:1001131	ensembl:ENSG00000163377|ensembl:ENSG00000110975|ensembl:ENSG00000011201|ensembl:ENSG00000164270	TAFA4|SYT10|ANOS1|HTR4	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.635593220338983	https://doi.org/10.5281/zenodo.11165918		False
		Pvalb_4	CLM:1001132	ensembl:ENSG00000212907|ensembl:ENSG00000143248|ensembl:ENSG00000156076|ensembl:ENSG00000006128	MT-ND4L|RGS5_ENSG00000143248|WIF1|TAC1	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.4390934844192635	https://doi.org/10.5281/zenodo.11165918		False
		Pvalb_5	CLM:1001133	ensembl:ENSG00000172164|ensembl:ENSG00000082438|ensembl:ENSG00000174948|ensembl:ENSG00000006128	SNTB1|COBLL1|GPR149|TAC1	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.6364329268292682	https://doi.org/10.5281/zenodo.11165918		False
		Pvalb_6	CLM:1001134	ensembl:ENSG00000133110|ensembl:ENSG00000137573|ensembl:ENSG00000103888|ensembl:ENSG00000137393	POSTN|SULF1|CEMIP|RNF144B	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.29255319148936176	https://doi.org/10.5281/zenodo.11165918		False
		Pvalb_7	CLM:1001135	ensembl:ENSG00000137573|ensembl:ENSG00000223351	SULF1|ZNF385D-AS2	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5650087260034904	https://doi.org/10.5281/zenodo.11165918		False
		Pvalb_8	CLM:1001136	ensembl:ENSG00000178538|ensembl:ENSG00000066468|ensembl:ENSG00000006128	CA8|FGFR2|TAC1	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5676733780760627	https://doi.org/10.5281/zenodo.11165918		False
		Pvalb_9	CLM:1001137	ensembl:ENSG00000100362|ensembl:ENSG00000133110	PVALB|POSTN	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5845323741007195	https://doi.org/10.5281/zenodo.11165918		False
		Sncg_1	CLM:1001138	ensembl:ENSG00000107731|ensembl:ENSG00000163377|ensembl:ENSG00000144229	UNC5B|TAFA4|THSD7B	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5883947939262474	https://doi.org/10.5281/zenodo.11165918		False
		Sncg_2	CLM:1001139	ensembl:ENSG00000150907|ensembl:ENSG00000154975|ensembl:ENSG00000186314|ensembl:ENSG00000144229	FOXO1|CA10|PRELID2|THSD7B	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.7396788990825688	https://doi.org/10.5281/zenodo.11165918		False
		Sncg_3	CLM:1001140	ensembl:ENSG00000075223|ensembl:ENSG00000128641|ensembl:ENSG00000134215	SEMA3C|MYO1B|VAV3	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.4528985507246377	https://doi.org/10.5281/zenodo.11165918		False
		Sncg_4	CLM:1001141	ensembl:ENSG00000267712|ensembl:ENSG00000011465|ensembl:ENSG00000144229	LINC01539|DCN|THSD7B	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.6752411575562701	https://doi.org/10.5281/zenodo.11165918		False
		Sncg_5	CLM:1001142	ensembl:ENSG00000204262|ensembl:ENSG00000147027|ensembl:ENSG00000157890	COL5A2|TMEM47|MEGF11	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5214285714285715	https://doi.org/10.5281/zenodo.11165918		False
		Sncg_6	CLM:1001143	ensembl:ENSG00000144229|ensembl:ENSG00000178031|ensembl:ENSG00000189056	THSD7B|ADAMTSL1|RELN	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5738434163701067	https://doi.org/10.5281/zenodo.11165918		False
		Sncg_7	CLM:1001144	ensembl:ENSG00000166736|ensembl:ENSG00000170743|ensembl:ENSG00000140563	HTR3A|SYT9|MCTP2	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.7097791798107256	https://doi.org/10.5281/zenodo.11165918		False
		Sncg_8	CLM:1001145	ensembl:ENSG00000138653|ensembl:ENSG00000147246|ensembl:ENSG00000186314	NDST4|HTR2C|PRELID2	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.49476135040745045	https://doi.org/10.5281/zenodo.11165918		False
		Sst Chodl_1	CLM:1001146	ensembl:ENSG00000122585	NPY	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.894026186579378	https://doi.org/10.5281/zenodo.11165918		False
		Sst_1	CLM:1001147	ensembl:ENSG00000138653|ensembl:ENSG00000154188|ensembl:ENSG00000129595	NDST4|ANGPT1|EPB41L4A	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5104166666666666	https://doi.org/10.5281/zenodo.11165918		False
		Sst_2	CLM:1001148	ensembl:ENSG00000164120|ensembl:ENSG00000143248|ensembl:ENSG00000262655	HPGD|RGS5_ENSG00000143248|SPON1	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5613577023498695	https://doi.org/10.5281/zenodo.11165918		False
		Sst_3	CLM:1001149	ensembl:ENSG00000152284|ensembl:ENSG00000183580|ensembl:ENSG00000141668	TCF7L1|FBXL7|CBLN2	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.6936997319034853	https://doi.org/10.5281/zenodo.11165918		False
		Sst_4	CLM:1001150	ensembl:ENSG00000168079|ensembl:ENSG00000154864|ensembl:ENSG00000080200|ensembl:ENSG00000114805	SCARA5|PIEZO2|CRYBG3|PLCH1	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5479002624671917	https://doi.org/10.5281/zenodo.11165918		False
		Sst_5	CLM:1001151	ensembl:ENSG00000156463|ensembl:ENSG00000122585|ensembl:ENSG00000104327	SH3RF2|NPY|CALB1	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5248833592534992	https://doi.org/10.5281/zenodo.11165918		False
		Sst_6	CLM:1001152	ensembl:ENSG00000197635|ensembl:ENSG00000204103	DPP4|MAFB	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.38520801232665647	https://doi.org/10.5281/zenodo.11165918		False
		Sst_7	CLM:1001153	ensembl:ENSG00000133106|ensembl:ENSG00000154864|ensembl:ENSG00000172987|ensembl:ENSG00000114805	EPSTI1|PIEZO2|HPSE2|PLCH1	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.4469696969696969	https://doi.org/10.5281/zenodo.11165918		False
		Sst_8	CLM:1001154	ensembl:ENSG00000169302|ensembl:ENSG00000170743|ensembl:ENSG00000189056	STK32A|SYT9|RELN	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5061619718309859	https://doi.org/10.5281/zenodo.11165918		False
		Sst_9	CLM:1001155	ensembl:ENSG00000145555|ensembl:ENSG00000047648|ensembl:ENSG00000164946	MYO10|ARHGAP6|FREM1	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.3506097560975609	https://doi.org/10.5281/zenodo.11165918		False
		Sst_10	CLM:1001156	ensembl:ENSG00000172987|ensembl:ENSG00000112319|ensembl:ENSG00000157005|ensembl:ENSG00000114805	HPSE2|EYA4|SST|PLCH1	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.3615384615384615	https://doi.org/10.5281/zenodo.11165918		False
		Sst_11	CLM:1001157	ensembl:ENSG00000112414|ensembl:ENSG00000007062|ensembl:ENSG00000170743	ADGRG6|PROM1|SYT9	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.34898477157360397	https://doi.org/10.5281/zenodo.11165918		False
		Sst_12	CLM:1001158	ensembl:ENSG00000054803|ensembl:ENSG00000140090|ensembl:ENSG00000188107|ensembl:ENSG00000114805	CBLN4|SLC24A4|EYS|PLCH1	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.34348441926345613	https://doi.org/10.5281/zenodo.11165918		False
		Sst_13	CLM:1001159	ensembl:ENSG00000138829|ensembl:ENSG00000137672|ensembl:ENSG00000129595	FBN2|TRPC6|EPB41L4A	Brain	NCBITaxon:9606	Human	UBERON:0001950	SO:0001260	0.5461876832844575	https://doi.org/10.5281/zenodo.11165918		False
