defined_class	Marker_set_of	Minimal_markers	Minimal_markers_label	Species_abbv	Organ_region	Parent	FBeta_confidence_score
CLM:1000069	L5/6 near-projecting glutamatergic neuron	ensembl:ENSG00000197085|ensembl:ENSG00000038295	NPSR1-AS1|TLL1	Human	UBERON:0001950	SO:0001260	0.899288218
CLM:1000070	L6 corticothalamic-projecting glutamatergic cortical neuron	ensembl:ENSG00000082684|ensembl:ENSG00000178031|ensembl:ENSG00000137573	SEMA5B|ADAMTSL1|SULF1	Human	UBERON:0001950	SO:0001260	0.631898455
CLM:1000071	L6 intratelencephalic projecting glutamatergic neuron	ensembl:ENSG00000256193|ensembl:ENSG00000172673	LINC00507|THEMIS	Human	UBERON:0001950	SO:0001260	0.641695703
CLM:1000072	L6 intratelencephalic projecting Car3 glutamatergic neuron	ensembl:ENSG00000115593|ensembl:ENSG00000172673	SMYD1|THEMIS	Human	UBERON:0001950	SO:0001260	0.877752028
CLM:1000073	L6b glutamatergic neuron of the primary motor cortex	ensembl:ENSG00000118523|ensembl:ENSG00000047936	CCN2|ROS1	Human	UBERON:0001950	SO:0001260	0.819940964
CLM:1000074	lamp5 GABAergic interneuron	ensembl:ENSG00000235665|ensembl:ENSG00000157404	LINC00298|KIT	Human	UBERON:0001950	SO:0001260	0.814687838
CLM:1000075	Lamp5 Lhx6 neuron	ensembl:ENSG00000154080|ensembl:ENSG00000125869	CHST9|LAMP5	Human	UBERON:0001950	SO:0001260	0.821678322
CLM:1000079	PAX6 GABAergic interneuron	ensembl:ENSG00000189056|ensembl:ENSG00000137252	RELN|HCRTR2	Human	UBERON:0001950	SO:0001260	0.724125093
CLM:1000080	pvalb GABAergic interneuron	ensembl:ENSG00000100362|ensembl:ENSG00000006128|ensembl:ENSG00000167306	PVALB|TAC1|MYO5B	Human	UBERON:0001950	SO:0001260	0.691998764
CLM:1000081	sncg GABAergic interneuron	ensembl:ENSG00000143171|ensembl:ENSG00000144229	RXRG|THSD7B	Human	UBERON:0001950	SO:0001260	0.628943702
CLM:1000082	sst GABAergic interneuron	ensembl:ENSG00000157005|ensembl:ENSG00000114805	SST|PLCH1	Human	UBERON:0001950	SO:0001260	0.842367005
CLM:1000083	sst chodl GABAergic interneuron	ensembl:ENSG00000122585	NPY	Human	UBERON:0001950	SO:0001260	0.894026187
CLM:1000085	VIP GABAergic interneuron	ensembl:ENSG00000146469	VIP	Human	UBERON:0001950	SO:0001260	0.855531344
CLM:1000001	alveolar adventitial fibroblast	ensembl:ENSG00000168079|ensembl:ENSG00000174807	SCARA5|CD248	Human	UBERON:0002048	SO:0001260	0.85
CLM:1000002	alveolar type 1 fibroblast cell	ensembl:ENSG00000131471|ensembl:ENSG00000139329	AOC3|LUM	Human	UBERON:0002048	SO:0001260	0.70
CLM:1000003	alveolar macrophage	ensembl:ENSG00000038945|ensembl:ENSG00000170323	MSR1|FABP4	Human	UBERON:0002048	SO:0001260	0.80
CLM:1000004	CCL3-positive alveolar macrophage	ensembl:ENSG00000050730|ensembl:ENSG00000163735	TNIP3|CXCL5	Human	UBERON:0002048	SO:0001260	0.67
CLM:1000005	metallothionein-positive alveolar macrophage	ensembl:ENSG00000100292|ensembl:ENSG00000164120	HMOX1|HPGD	Human	UBERON:0002048	SO:0001260	0.41
CLM:1000006	cycling alveolar macrophage	ensembl:ENSG00000166803|ensembl:ENSG00000171848|ensembl:ENSG00000175063|ensembl:ENSG00000137804	PCLAF|RRM2|UBE2C|NUSAP1	Human	UBERON:0002048	SO:0001260	0.26
CLM:1000008	pulmonary alveolar type 1 cell	ensembl:ENSG00000204305	AGER	Human	UBERON:0002048	SO:0001260	0.85
CLM:1000009	pulmonary alveolar type 2 cell	ensembl:ENSG00000122852	SFTPA1	Human	UBERON:0002048	SO:0001260	0.95
CLM:1000010	cycling pulmonary alveolar type 2 cell	ensembl:ENSG00000242265|ensembl:ENSG00000198901|ensembl:ENSG00000131747	PEG10|PRC1|TOP2A	Human	UBERON:0002048	SO:0001260	0.61
CLM:1000026	bronchial goblet cell	ensembl:ENSG00000197943|ensembl:ENSG00000174501	PLCG2|ANKRD36C	Human	UBERON:0002048	SO:0001260	0.55
CLM:1000027	nasal mucosa goblet cell	ensembl:ENSG00000197353|ensembl:ENSG00000215182	LYPD2|MUC5AC	Human	UBERON:0002048	SO:0001260	0.81
CLM:1000031	lung interstitial macrophage	ensembl:ENSG00000124491|ensembl:ENSG00000010327|ensembl:ENSG00000072694	F13A1|STAB1|FCGR2B	Human	UBERON:0002048	SO:0001260	0.46
CLM:1000032	pulmonary ionocyte	ensembl:ENSG00000176009|ensembl:ENSG00000162399	ASCL3|BSND	Human	UBERON:0002048	SO:0001260	0.82
CLM:1000041	multiciliated columnar cell of tracheobronchial tree	ensembl:ENSG00000179902|ensembl:ENSG00000166959	C1orf194|MS4A8	Human	UBERON:0002048	SO:0001260	0.86
CLM:1000043	pulmonary neuroendocrine cell	ensembl:ENSG00000100604|ensembl:ENSG00000134443	CHGA|GRP	Human	UBERON:0002048	SO:0001260	0.94
CLM:1000046	pulmonary interstitial fibroblast	ensembl:ENSG00000143196|ensembl:ENSG00000189058	DPT|APOD	Human	UBERON:0002048	SO:0001260	0.58
CLM:1000047	lung pericyte	ensembl:ENSG00000131097|ensembl:ENSG00000171303	HIGD1B|KCNK3	Human	UBERON:0002048	SO:0001260	0.84
CLM:1000052	airway submucosal gland collecting duct epithelial cell	ensembl:ENSG00000156689|ensembl:ENSG00000187908	GLYATL2|DMBT1	Human	UBERON:0002048	SO:0001260	0.46
CLM:1000053	mucus secreting cell of bronchus submucosal gland	ensembl:ENSG00000078898	BPIFB2	Human	UBERON:0002048	SO:0001260	0.93
CLM:1000054	serous secreting cell of bronchus submucosal gland	ensembl:ENSG00000111215|ensembl:ENSG00000184530	PRR4|C6orf58	Human	UBERON:0002048	SO:0001260	0.75
CLM:1000056	tracheobronchial smooth muscle cell	ensembl:ENSG00000107796|ensembl:ENSG00000149591	ACTA2|TAGLN	Human	UBERON:0002048	SO:0001260	0.69
CLM:1000059	respiratory tract suprabasal cell	ensembl:ENSG00000041982|ensembl:ENSG00000171346|ensembl:ENSG00000206073	TNC|KRT15|SERPINB4	Human	UBERON:0002048	SO:0001260	0.62
CLM:1000061	brush cell of tracheobronchial tree	ensembl:ENSG00000137709|ensembl:ENSG00000051128|ensembl:ENSG00000118513	POU2F3|HOMER3|MYB	Human	UBERON:0002048	SO:0001260	0.56
CLM:1001239	diffuse bipolar 4a cell	ensembl:ENSG00000145730|ensembl:ENSG00000196569	PAM|LAMA2	Human	UBERON:0000966	SO:0001260	0.608139214
CLM:1001240	OFFx cell	ensembl:ENSG00000047648|ensembl:ENSG00000278254	ARHGAP6|ENSG00000278254	Human	UBERON:0000966	SO:0001260	0.785018957
CLM:1001241	cone retinal bipolar cell	ensembl:ENSG00000082293|ensembl:ENSG00000101134	COL19A1|DOK5	Human	UBERON:0000966	SO:0001260	0.843060252
CLM:1001242	diffuse bipolar 3b cell	ensembl:ENSG00000134138|ensembl:ENSG00000242021	MEIS2|ENSG00000242021	Human	UBERON:0000966	SO:0001260	0.821782012
CLM:1001243	diffuse bipolar 1 cell	ensembl:ENSG00000053747|ensembl:ENSG00000164330	LAMA3|EBF1	Human	UBERON:0000966	SO:0001260	0.917474411
CLM:1001244	diffuse bipolar 6 cell	ensembl:ENSG00000275443	ENSG00000275443	Human	UBERON:0000966	SO:0001260	0.877512571
CLM:1001245	diffuse bipolar 2 cell	ensembl:ENSG00000243004|ensembl:ENSG00000249803	ENSG00000243004|ENSG00000249803	Human	UBERON:0000966	SO:0001260	0.770513807
CLM:1001246	diffuse bipolar 4a cell	ensembl:ENSG00000265485	LINC01915	Human	UBERON:0000966	SO:0001260	0.871187664
CLM:1001247	flat midget bipolar cell	ensembl:ENSG00000185942|ensembl:ENSG00000163377	NKAIN3|TAFA4	Human	UBERON:0000966	SO:0001260	0.915774104
CLM:1001248	giant bipolar cell	ensembl:ENSG00000152818	UTRN	Human	UBERON:0000966	SO:0001260	0.808459341
CLM:1001249	diffuse bipolar 3a cell	ensembl:ENSG00000178568	ERBB4	Human	UBERON:0000966	SO:0001260	0.949243066
CLM:1001250	ON-blue cone bipolar cell	ensembl:ENSG00000183662|ensembl:ENSG00000250971	TAFA1|ENSG00000250971	Human	UBERON:0000966	SO:0001260	0.797269292
CLM:1001251	rod bipolar cell	ensembl:ENSG00000128536|ensembl:ENSG00000264630	CDHR3|PRKCA-AS1	Human	UBERON:0000966	SO:0001260	0.929575519
CLM:1001252	invaginating midget bipolar cell	ensembl:ENSG00000189056|ensembl:ENSG00000271860	RELN|ENSG00000271860	Human	UBERON:0000966	SO:0001260	0.884807812
